Title,Release Date,Anime Type,Episode Count,Genres,Summary
?,"??.??.1932
				","('Movie',)",1 ep,['new'],"Four short vignettes in this early animated film. In the first, shadows pull away to reveal a puddle, and automobile and bicycle tires pass through it. In the second, cutout shadows of a variety of shoes of people walking are seen. The third is a flurry of geometric forms. In the fourth, the playing card spade courts the heart and pushes away the club, but eventually the club returns, beats up the spade, and wins the heart.
				"
.hack//G.U. Returner,"??.07.2007
				","('OVA',)",1 ep,"['action', 'adventure', 'fantasy', 'new', 'virtual world']","Haseo and the other members of the former Twilight Brigade receive an email from Ovan inviting them to go to the Hidden Forbidden Festival where a mysterious summer festival is set up. There they find an AIDA Chim Chim who wishes to peacefully co-exist with the other players of The World. It then transforms into the word ""Returner"", so they assume it to mean that Ovan will return to The World.Source: ANNNote: This is a single-episode OVA offered to fans who completed all three GU Games, featuring characters from the .hack//G.U. Games and .hack//Roots.
"
.hack//G.U. Trilogy,"22.12.2007
				","('Movie',)",1 ep,"['action', 'cyberpunk', 'fantasy', 'new', 'RPG', 'science fiction', 'super power', 'virtual world']","* Based on the CyberConnect2 hit game.The Movie will be placed in the storyline of each .hack//G.U. games trilogy. The story follows Haseo, a player in the online MMORPG called The World:R2 at first depicted as a PKK (Player Killer Killer) known as the ""Terror of Death"", a former member of the disbanded Twilight Brigade guild. Haseo encounters Azure Kite (believing him to be Tri-Edge and blaming him for what happened to Shino) but is hopelessly outmatched. Azure Kite easily defeats Haseo and Data Drains him, reducing his level from 133 to 1 and leaving him without any items, weapons, or member addresses. He is left with a mystery on his hands as to the nature of the Data Drain and why Azure Kite is in possession of such a skill.Eventually Haseo gains the ""Avatar"" of Skeith. Acquiring the ability to call Skeith and wield his abilities, such as Data Drain. With Skeith as his strength, Haseo begins the quest for a way to save Shino.He is seen seeking out a PK (Player Killer) known as Tri-Edge, whose victims supposedly are unable to return to The World after he PKs them. Haseo's friend, Shino, was attacked six months prior to the events of the game by Tri-Edge, and the player herself, Shino Nanao, was left in a coma.by XellosPL
"
.hack//Gift,"16.11.2003
				","('OVA',)",1 ep,"['comedy', 'fantasy', 'magic', 'new', 'nudity', 'parody', 'seinen', 'virtual world']","Helba has prepared a special hot springs for some much needed rest and relaxation. Tsukasa, Mimiru, BlackRose, Kite and other friends from The World decide they are due for some soaking in the hot springs themselves. There is a catch, however: not only will Helba not reveal its exact location, but she insists that role-playing is forbidden.So who will find it first? And who keeps killing the other characters?Note: This is a parody of the .hack series with appearance of the characters from .hack//SIGN, .hack//Udeden and the games. It is also referred to as ""episode 29"" of .hack//SIGN. This OVA was originally a giveaway in Japan for those who bought all four .hack-games and will probably be included in the US-release of .hack//Quarantine.
"
.hack//Liminality,"20.06.2002 - 10.04.2003
				","('OVA',)",4 eps,"['detective', 'new', 'science fiction', 'seinen']","Minase Mai visits The World, a MMORPG, for the first time together with a friend, Tomonari Kasumi, using the hardware at the school club. Shortly thereafter she and her friend are found unconscious and are hospitalized. Mai regains consciousness quickly enough, but her friend stays in a coma. She decides to find out what caused this accident, for her sake and that of her friend. Mai suspects that the game had something to do with it, unthinkable, especially since 20 million users are playing it. But an encounter with a middle-aged man, Tokuoka Jun'ichirou, who had previously worked for the game company that created The World, confirms her worst suspicions. They decide to team up and investigate further...— written by foo2
"
.hack//Quantum,"27.11.2010 - 22.01.2011
				","('OVA',)",3 eps,"['conspiracy', 'new', 'seinen', 'virtual world']","In the year 2020, Aida Asumi is a cheerful high school student who lives a parallel life inside an online fantasy role-playing game called The World R:X. There her user name is Sakuya. While playing together with her classmates Ikuta Iori (user name Tobias) and Etou Eri (user name Mary) inside the game and having an ordinary treasure hunting adventure, they end up caught in an ominous situation: after an unfortunate encounter with an elite guild and a mysterious player named Hermit, Etou loses consciousness and for an unknown reason is unable to wake up.Source: ANNNote: The three main characters use player characters similar to Kite, BlackRose and Balmung.
"
.hack//Roots,"06.04.2006 - 28.09.2006
				","('TV Series',)",26 eps,"['action', 'adventure', 'fantasy', 'new', 'seinen', 'super power', 'swordplay', 'virtual world']","In 2015, CC Corporation's data centre caught on fire destroying The World. By splicing in data from what would have been another project, CC Corp. was able to rebuild the game. In 2016, The World R:2 was released. In this slightly different world Haseo spends his time with Shino and Ovan in the guild known as the Twilight Brigade.
				"
.hack//Sekai no Mukou ni,"21.01.2012
				","('Movie',)",1 ep,"['action', 'fantasy', 'RPG', 'virtual world']","In 2024, children have lived their entire lives since birth in a world connected by networks. A cheerful 14-year-old middle school girl named Yuuki Sora has no interest in games, but her friends get her to go into the popular network game The World. However, due to a certain incident in The World, anomalies start occurring in the real world.Source: ANN
"
.hack//Sign,"04.04.2002 - 26.09.2002
				","('TV Series',)",26 eps,"['isekai', 'new', 'seinen', 'super power', 'virtual world']","In the year 2005, a computer virus called Pluto Kiss completely shuts down and restricts the global internet network. In 2007, after extensive rescinding of the network, an online network game (MMORPG) called The World is created and released.Tsukasa suddenly awakens to find himself in The World, being able to feel, smell, touch, see and hear everything as if he was really there. He attempts to log out but fails to do so. Being unable to remember what has happened before he awoke, he wanders around aimlessly to find answers. While doing so, system moderators, the Scarlet Knights, suspect that he has been working with hackers, because of a tweaked cat-faced character he had been seen with. Tsukasa finds a magical item, that grants him the power to use the fearful Guardian that will protect him from any harm. To Tsukasa's dismay it turns out that this guardian can not only easily defeat player characters in the game, but actually badly hurt players in the real world.On his search for truth, Tsukasa encounters the friendly and supportive Mimiru, the wise, fatherly Bear, the manipulative BT, the unscrupulous Sora, the fun-loving Crim, and the mysterious Subaru, leader of the Scarlet Knights. When a mythical item called the Key of the Twilight turns out to be less of a myth, Tsukasa, questions whom he can really trust, and what the power to overcome The World's system limitations actually entails...
				"
.hack//Tasogare no Udewa Densetsu,"09.01.2003 - 27.03.2003
				","('TV Series',)",12 eps,"['action', 'comedy', 'fantasy', 'magic', 'manga', 'new', 'science fiction', 'seinen', 'virtual world']","CyberConnect Corporation (CC Corporation), the creator and operator of the network game The World, holds a special campaign for its players. The grand prizes are two Limited Edition Characters: the legendary Twin Blade, Kite and the Heavy Blade, Black Rose from the .hackers data that has been prohibited since the Twilight incident.The second-year junior high school twins, Kunisaki Shuugo, and Rena, successfully win the Legendary Characters from the campaign. And even though Shuugo never played the network game before, he sets foot into The World on his sister's invitation.In the game world, Shuugo and Rena meet other players, like The Rare Hunter of Love and Courage Mireille a Wavemaster, the Werewolf Ouka of the Divine Fist, and the shy Wavemaster Hotaru and quickly become close friends after several events and encounters. However, the seemingly peaceful game world begins to show signs of weird glitches that eerily resemble the incidents from four years ago. Only this time, Shuugo, Rina and their new friends are involved in them...Note: Set in The World, four years after the Twilight incident (from the PS2 game), which not only shook the game world, but also the real world.
"
